,amount,LNDfee,LNDdly,LNDpthlnt,LNDtp,CLNfee,CLNdly,CLNpthlnt,CLNtp,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp
2014,231480,2.9259199999999996,258,5,Failure,3.3133999999999997,148,5,Failure,3.3133999999999997,148,5,Failure,16.67594,264,5,Failure,16.67594,264,5,Failure,16.67594,264,5,Failure
2015,679017,1361.3954,224,4,Failure,1361.3954,224,4,Failure,690.17538,316,7,Failure,1495.78816,224,4,Success,1495.78816,224,4,Failure,863.39892,212,7,Failure
2016,25299,3.0759000000000003,120,4,Failure,3.0759000000000003,120,4,Failure,3.0759000000000003,120,4,Failure,3.0759000000000003,120,4,Failure,3.0759000000000003,120,4,Failure,2.0779000000000005,444,11,Failure
2017,64772,2.71249,114,4,Failure,2.71249,114,4,Failure,2.71249,114,4,Failure,2.77726,154,5,Success,2.77726,154,5,Success,2.77726,154,5,Success
2018,14462,3.6311799999999996,120,4,Success,3.6311799999999996,120,4,Failure,3.6311799999999996,120,4,Failure,4.632429999999999,264,5,Success,4.632429999999999,264,5,Failure,3.77698,264,8,Failure
2019,189829,39.15567,80,3,Success,39.15567,80,3,Success,3.7593199999999998,200,6,Failure,39.15567,80,3,Success,39.15567,80,3,Success,2.51864,294,9,Failure
2020,158613,13.29102,120,4,Failure,13.29102,120,4,Failure,2.6344399999999997,190,6,Failure,33.77276,200,6,Failure,33.77276,200,6,Failure,5.11032,350,10,Failure
2021,37825,178.8271,114,4,Success,178.8271,114,4,Success,59.86592,182,6,Success,59.88717,154,5,Success,59.88717,154,5,Failure,59.461220000000004,262,8,Failure
2022,18383,1.20222,264,5,Failure,1.20222,264,5,Failure,1.20222,264,5,Failure,1.20222,264,5,Failure,1.20222,264,5,Failure,0.31251,334,7,Failure
2023,3832,12.50284,224,4,Success,12.50284,224,4,Success,12.50284,224,4,Success,12.50284,224,4,Success,12.50284,224,4,Success,11.49984,482,8,Success
2024,59497,4.73998,142,5,Success,4.73998,142,5,Failure,3.2524699999999998,224,7,Success,6.85849,142,5,Failure,6.85849,142,5,Failure,5.5615000000000006,262,8,Failure
2025,8195,33.30608,392,5,Success,33.30608,392,5,Success,33.30608,392,5,Success,33.30608,392,5,Success,33.30608,392,5,Success,33.30608,464,6,Success
2026,96407,51.30051,228,5,Failure,51.30051,228,5,Failure,2.57845,200,6,Success,51.30051,264,5,Failure,51.30051,264,5,Failure,10.28461,234,7,Failure
2027,214563,1.85825,120,4,Failure,1.85825,120,4,Failure,1.85825,120,4,Failure,30.2554,120,4,Failure,30.2554,120,4,Failure,23.172110000000004,160,5,Failure
2028,36571,16.48336,114,4,Success,16.48336,114,4,Success,14.471240000000002,148,5,Success,16.48336,114,4,Success,16.48336,114,4,Success,13.471210000000001,406,12,Success
2029,119892,15.257729999999999,94,4,Success,15.257729999999999,94,4,Failure,12.479579999999999,148,5,Failure,15.257729999999999,94,4,Failure,15.257729999999999,94,4,Failure,12.479579999999999,188,6,Failure
2030,128818,16.29904,114,4,Failure,16.29904,114,4,Failure,2.5152799999999997,160,5,Failure,24.07923,188,6,Success,24.07923,188,6,Failure,18.39655,190,7,Failure
2031,22563,0.09025,360,4,Success,0.09025,360,4,Failure,0.09025,360,4,Success,0.09025,360,4,Failure,0.09025,360,4,Failure,0.09025,360,4,Failure
2032,31505,2.03151,242,5,Failure,2.03151,242,5,Failure,2.03151,242,5,Failure,2.68903,264,5,Failure,2.68903,264,5,Failure,1.78355,304,6,Failure
2033,60769,14.45842,120,4,Failure,14.45842,120,4,Failure,14.45842,120,4,Failure,14.45842,120,4,Failure,14.45842,120,4,Failure,14.45842,120,4,Failure
2034,741214,16.82436,184,3,Failure,16.82436,184,3,Failure,4.065869999999999,234,7,Failure,34.189789999999995,114,4,Failure,34.189789999999995,114,4,Failure,34.189789999999995,114,4,Failure
2035,14613,47.21208,368,5,Failure,43.987570000000005,368,5,Failure,43.987570000000005,368,5,Failure,43.987570000000005,368,5,Failure,43.987570000000005,368,5,Failure,43.85566,702,12,Failure
2037,9576,3.83069,120,4,Success,6.20052,120,4,Success,1.9768599999999998,144,5,Success,6.20052,120,4,Success,6.20052,120,4,Success,1.22328,466,8,Success
2038,9409,5.84472,224,4,Success,6.274179999999999,120,4,Failure,5.59563,148,5,Failure,6.274179999999999,120,4,Failure,6.274179999999999,120,4,Failure,5.58521,154,5,Failure
2039,41102,2.20551,114,4,Success,2.20551,114,4,Failure,2.20551,114,4,Failure,2.20551,114,4,Failure,2.20551,114,4,Failure,2.41101,234,7,Success
2040,6937,2.02775,264,5,Success,2.02775,264,5,Success,2.02775,264,5,Success,2.02775,264,5,Success,2.02775,264,5,Success,2.02775,264,5,Failure
2041,8503,26.51753,328,4,Success,26.77339,224,4,Success,26.51753,328,4,Success,26.6881,604,4,Success,26.6881,604,4,Success,26.52606,304,6,Success
2042,384027,4.15209,264,5,Failure,4.15209,264,5,Failure,2.76806,452,7,Failure,26.139639999999996,368,5,Success,26.139639999999996,368,5,Success,26.139639999999996,282,6,Failure
2043,204912,76.70156,125,4,Failure,76.70156,125,4,Failure,17.01627,194,6,Success,53.69843,165,5,Failure,53.69843,165,5,Failure,16.811349999999997,244,7,Failure
2044,34866,106.67094,224,4,Success,106.67094,224,4,Success,106.67094,224,4,Success,106.67094,224,4,Success,106.67094,224,4,Success,105.8428,304,6,Failure
2045,202764,9.818679999999999,64,3,Success,9.818679999999999,64,3,Success,1.60929,138,5,Success,9.818679999999999,64,3,Success,9.818679999999999,64,3,Success,1.82588,178,6,Success
2046,17327,54.02176,282,6,Failure,54.02176,282,6,Failure,53.001380000000005,338,7,Failure,54.02176,282,6,Failure,54.02176,282,6,Failure,53.11906,372,8,Failure
2047,747270,22.17635,120,4,Failure,22.17635,120,4,Failure,3.24281,148,5,Failure,14.93637,188,6,Failure,14.93637,188,6,Failure,14.93637,188,6,Failure
2048,2645050,1006.18653,114,4,Failure,1006.18653,114,4,Failure,282.63297,212,7,Failure,4122.82568,160,5,Failure,4122.82568,160,5,Failure,891.4254099999999,236,8,Failure
2049,42167,127.80006,150,5,Failure,127.80006,150,5,Failure,128.09713000000002,184,5,Failure,127.80006,150,5,Failure,127.80006,150,5,Failure,127.80006,150,5,Failure
2050,10447,1.01045,184,3,Failure,1.01045,184,3,Failure,1.01045,184,3,Failure,1.01045,184,3,Failure,1.01045,184,3,Failure,1.01045,184,3,Failure
2051,20996,1.23196,242,5,Success,1.23196,242,5,Failure,1.23196,242,5,Failure,2.042,264,5,Failure,2.042,264,5,Failure,1.0639999999999998,334,7,Failure
2052,22831,2.2283099999999996,304,6,Failure,2.2283099999999996,304,6,Failure,3.91784,298,6,Failure,2.2283099999999996,304,6,Failure,2.2283099999999996,304,6,Failure,2.1141499999999995,344,7,Failure
2053,11148,2.92537,160,5,Failure,3.03345,160,5,Success,3.15709,188,6,Success,2.92537,160,5,Failure,2.92537,160,5,Failure,2.1003499999999997,240,7,Failure
2054,11695,70.27526,296,5,Failure,70.34585,264,5,Failure,70.51056,264,5,Failure,70.34585,264,5,Failure,70.34585,264,5,Failure,70.34585,264,5,Failure
2055,12316,3.0616000000000003,190,6,Failure,3.0616000000000003,190,6,Failure,3.0616000000000003,190,6,Failure,3.0616000000000003,190,6,Failure,3.0616000000000003,190,6,Failure,2.5311100000000004,230,7,Failure
2056,35340,212.35806,242,5,Success,212.35806,242,5,Failure,212.35806,242,5,Failure,213.03732,264,5,Failure,213.03732,264,5,Failure,213.03732,264,5,Failure
2057,1286109,939.9868899999999,74,3,Success,939.9868899999999,74,3,Failure,14.9889,234,7,Failure,939.9868899999999,74,3,Failure,939.9868899999999,74,3,Failure,299.20699,120,4,Failure
