,amount,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,CLNfee,CLNdly,CLNpthlnt,CLNtp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp,LNDfee,LNDdly,LNDpthlnt,LNDtp
3146,1592,0.12877,292,6,Success,1.6611,114,4,Success,1.6611,114,4,Success,1.6611,114,4,Success,0.044980000000000006,358,9,Success,1.6611,114,4,Success
3147,2933,1.00293,328,4,Success,1.00293,328,4,Failure,1.00293,328,4,Failure,1.00293,328,4,Failure,1.00293,328,4,Failure,1.00293,328,4,Success
3148,53,1.01059,154,5,Success,1.0053500000000002,154,5,Success,1.0053500000000002,154,5,Success,1.0053500000000002,154,5,Success,1.00015,222,7,Success,1.0053500000000002,154,5,Success
3149,126,1.0472499999999998,258,5,Success,1.0377999999999998,264,5,Success,1.0377999999999998,242,5,Success,1.0377999999999998,264,5,Success,1.01575,378,8,Success,1.0377999999999998,242,5,Success
3150,3387,11.25234,396,6,Failure,12.21796,258,5,Failure,12.21796,258,5,Failure,12.21796,258,5,Failure,11.23875,406,9,Failure,12.21796,258,5,Success
3151,95,1.28538,218,4,Success,1.28538,218,4,Success,1.28538,218,4,Success,1.28538,218,4,Success,1.28538,218,4,Success,1.28538,218,4,Success
3152,2,0.0062,202,4,Success,0.0062,202,4,Success,0.0062,202,4,Success,0.0062,202,4,Success,0.0062,202,4,Success,0.0062,202,4,Success
3153,3509,3.0105299999999997,120,4,Success,3.0105299999999997,120,4,Success,3.0105299999999997,120,4,Success,3.0105299999999997,120,4,Success,2.1860299999999997,224,7,Success,3.0105299999999997,120,4,Success
3154,1946,1.69093,188,6,Success,2.3428,154,5,Success,2.3428,154,5,Success,2.3428,154,5,Success,1.4651900000000002,478,12,Success,2.3428,154,5,Success
3155,1576,4.77274,370,6,Success,4.584899999999999,342,5,Failure,4.58174,342,5,Failure,4.584899999999999,342,5,Failure,4.580159999999999,362,6,Failure,4.58174,342,5,Success
3156,6400,5.7542800000000005,252,5,Success,5.7542800000000005,252,5,Success,5.7542800000000005,252,5,Success,5.7542800000000005,252,5,Success,5.7542800000000005,252,5,Success,5.7542800000000005,252,5,Success
3157,1456,2.54514,94,4,Success,1.01748,150,5,Success,2.54514,94,4,Success,1.01748,150,5,Success,1.01166,150,5,Success,2.54514,94,4,Success
3158,532,3.7992899999999996,368,5,Success,4.54641,224,4,Success,4.54641,224,4,Success,4.54641,224,4,Success,3.79876,264,5,Success,4.54641,224,4,Success
3159,9,0.05498,282,6,Success,0.05408,296,5,Success,0.05413,264,5,Success,0.05408,296,5,Success,0.05408,348,7,Success,0.05408,296,5,Success
3160,2482,0.5585,154,5,Success,1.17622,120,4,Success,1.17622,120,4,Success,1.17622,120,4,Success,0.010920000000000001,314,9,Success,1.17622,120,4,Success
3161,13952,0.40560999999999997,246,5,Success,0.26609,98,4,Success,0.26609,98,4,Success,0.26609,98,4,Success,0.26609,98,4,Success,0.26609,98,4,Success
3162,136,0.06514,160,5,Success,0.06514,160,5,Success,0.06514,160,5,Success,0.06514,160,5,Success,0.051820000000000005,194,6,Success,0.06514,160,5,Success
3163,303,0.36822000000000005,534,5,Success,0.0606,264,5,Success,0.0606,264,5,Success,0.0606,264,5,Success,0.0303,298,6,Success,0.0606,264,5,Success
3164,32534,1.26026,334,7,Failure,7.53934,264,5,Failure,7.53934,264,5,Failure,7.53934,264,5,Failure,1.26026,334,7,Failure,7.53934,264,5,Failure
3165,6424,19.31709,264,5,Success,20.28144,224,4,Failure,20.28144,224,4,Failure,20.28144,224,4,Failure,19.27844,408,6,Success,20.28144,224,4,Success
3166,5305,18.75619,264,5,Failure,18.75619,264,5,Failure,18.75619,264,5,Failure,18.75619,264,5,Failure,17.97918,408,6,Failure,18.75619,264,5,Failure
3167,1,2.00042,194,6,Success,2.00016,200,6,Success,2.0004,178,6,Success,2.00016,200,6,Success,2.00001,280,8,Success,2.00016,200,6,Success
3168,1065,4.198969999999999,182,6,Success,4.06668,148,5,Success,4.06668,148,5,Success,4.06668,148,5,Success,4.04869,172,6,Success,4.06668,148,5,Success
3169,4,0.01289,154,5,Success,0.0124,138,5,Success,0.0124,138,5,Success,0.0124,138,5,Success,0.0124,138,5,Success,0.0124,138,5,Success
3170,106,1.32111,264,5,Success,1.32111,264,5,Success,1.32111,264,5,Success,1.32111,264,5,Success,1.32111,264,5,Success,1.32111,264,5,Success
3171,8,0.02942,298,6,Success,0.024810000000000002,242,5,Success,0.024810000000000002,242,5,Success,0.024810000000000002,242,5,Success,0.02402,388,8,Success,0.024810000000000002,242,5,Success
3172,4,2.00251,214,4,Success,1.50625,270,4,Success,1.50625,270,4,Success,1.50625,270,4,Success,1.50445,300,5,Success,1.50625,270,4,Success
3173,2,2.0,224,4,Success,2.0,224,4,Success,2.0,224,4,Success,2.0,224,4,Success,1.0,264,5,Success,2.0,224,4,Success
3174,4267,2.38298,292,6,Failure,3.08285,264,5,Success,3.08285,264,5,Success,3.08285,264,5,Success,1.5824799999999999,554,11,Success,3.08285,264,5,Success
3175,13,12.066059999999998,264,5,Success,12.066189999999999,254,5,Success,12.066189999999999,254,5,Success,12.066189999999999,254,5,Success,12.065089999999998,410,8,Success,12.066059999999998,264,5,Success
3176,46,1.2534100000000001,308,6,Success,1.13815,304,6,Success,3.14457,264,5,Success,1.13815,304,6,Success,1.13815,378,8,Success,3.14457,264,5,Success
3177,1553,5.17179,298,6,Success,5.95856,264,5,Success,14.02868,224,4,Success,5.95856,264,5,Success,5.17179,298,6,Success,14.02868,224,4,Success
3178,2810,3.4050000000000002,362,5,Failure,3.4050000000000002,368,5,Failure,3.4050000000000002,346,5,Failure,3.4050000000000002,368,5,Failure,3.4050000000000002,368,5,Failure,3.4050000000000002,346,5,Failure
3179,1,0.003,114,4,Success,0.003,114,4,Success,0.003,114,4,Success,0.003,114,4,Success,0.0,228,7,Success,0.003,114,4,Success
3180,76,3.26186,120,4,Success,3.26186,120,4,Success,3.26186,120,4,Success,3.26186,120,4,Success,3.26186,120,4,Success,3.26186,120,4,Success
